駅番号,駅名,東経,北緯,use_search,sta_type
1,村上,139.4636089,38.2202371,True,T
2,新発田,139.3350935,37.9440569,True,J
3,新潟,139.0617442,37.91209,True,J
4,新津,139.1212473,37.8004686,True,J
5,吉田,138.8786033,37.6871131,True,J
6,弥彦,138.8320291,37.6993823,True,T
7,東三条,138.9736524,37.6285143,True,J
8,柏崎,138.5562887,37.3637096,True,J
9,直江津,138.242039,37.1702506,True,T
10,宮内,138.8402313,37.4220999,True,J
11,渋川,139.0088,36.4913158,True,J
12,大前,138.5290308,36.5135856,True,T
13,新前橋,139.0469116,36.379033,True,J
14,高崎,139.0134218,36.3221252,True,J
15,横川,138.7370138,36.3363606,True,T
16,黒磯,140.0601631,36.9702754,True,T
17,宇都宮,139.8984523,36.5590302,True,J
18,日光,139.6220456,36.74745,True,T
19,小山,139.8064972,36.3128947,True,J
20,大宮,139.6231198,35.9063453,True,J
21,武蔵浦和,139.6468681,35.845352,True,J
22,南浦和,139.6687818,35.8481784,True,J
23,赤羽,139.7209883,35.7776795,True,J
24,池袋,139.7109997,35.729487,True,J
25,田端,139.7607333,35.7383571,True,J
26,新宿,139.700537,35.6894597,True,J
27,日暮里,139.770638,35.7281575,True,J
28,代々木,139.7021759,35.6841068,True,J
29,御茶ノ水,139.7652079,35.6994603,True,J
30,秋葉原,139.7733021,35.698362,True,J
31,神田,139.770935,35.6918216,True,J
32,東京,139.767251,35.6811957,True,J
33,品川,139.7387767,35.6284888,True,J
34,奥多摩,139.0969264,35.8093728,True,T
35,武蔵五日市,139.2283376,35.7323021,True,T
36,拝島,139.343634,35.7210899,True,J
37,八王子,139.3388915,35.6556399,True,J
38,立川,139.4137788,35.6982051,True,J
39,西国分寺,139.4657707,35.6997996,True,J
40,府中本町,139.4772291,35.6661875,True,J
41,武蔵小杉,139.6594584,35.5766373,True,J
42,尻手,139.6842527,35.5315627,True,J
43,川崎,139.6968913,35.5313531,True,J
44,鶴見,139.6763195,35.5082528,True,J
45,浅野,139.6956468,35.4976003,True,J
46,武蔵白石,139.7064453,35.5018366,True,J
47,浜川崎,139.7138483,35.5102298,True,J
48,扇町,139.7223783,35.5017318,True,T
49,海芝浦,139.7008905,35.4860893,True,T
50,大川,139.7113527,35.4954084,True,T
51,橋本,139.3450528,35.5949215,True,J
52,東神奈川,139.6333869,35.4779787,True,J
53,横浜(東海道本線),139.6223299,35.4657885,False,D
54,大船(東海道本線),139.5315814,35.3544937,False,D
55,久里浜,139.7009393,35.2331945,True,T
56,茅ヶ崎,139.406848,35.3303085,True,J
57,国府津,139.214952,35.2813605,True,J
58,熱海,139.0778408,35.1035463,True,J
59,伊東,139.0922242,34.9745938,True,T
60,取手,140.0631738,35.8958401,True,T
61,我孫子,140.0108181,35.8727006,True,J
62,新松戸,139.9211025,35.8255382,True,J
63,鹿島サッカースタジアム,140.6362652,35.9921652,True,T
64,香取,140.5322812,35.8979327,True,J
65,成田,140.3135312,35.7773313,True,J
66,成田空港,140.3863396,35.7659247,True,T
67,銚子,140.8273405,35.7293389,True,T
68,松岸,140.7952883,35.7395434,True,J
69,成東,140.4108524,35.6083855,True,J
70,佐倉,140.2259731,35.7095572,True,J
71,千葉,140.1134652,35.6129299,True,J
72,西船橋,139.9590826,35.7074664,True,J
73,錦糸町,139.81384,35.6971445,True,J
74,大網(外房線),140.3110421,35.522508,False,D
75,蘇我(外房線),140.1310471,35.5815282,False,D
76,南船橋,139.9958289,35.6817774,True,J
77,市川塩浜,139.9236774,35.6664838,True,J
78,沼津,138.8597631,35.1026012,True,J
79,富士,138.6511946,35.151486,True,J
80,甲府,138.5690546,35.6670765,True,J
81,豊橋,137.381926,34.7629304,True,J
82,辰野,137.9978725,35.9845957,True,J
83,岡谷,138.0453799,36.0570347,True,J
84,塩尻,137.9481023,36.1143387,True,J
85,松本,137.9643505,36.2308211,True,J
86,長野,138.1886317,36.6431228,True,T
87,南小谷,137.9082227,36.7748831,True,T
88,大府,136.9620734,35.0088341,True,J
89,武豊,136.9210785,34.8533484,True,T
90,金山,136.9012195,35.1429282,True,J
91,名古屋,136.8816447,35.1709142,True,J
92,亀山,136.4504009,34.8503149,True,T
93,大垣,136.6175494,35.3669998,True,J
94,美濃赤坂,136.5819588,35.3873325,True,T
95,米原,136.2905717,35.3145999,True,J
96,近江塩津,136.1514616,35.5383377,True,J
97,草津,135.9622036,35.0228832,True,J
98,柘植,136.2557941,34.8468681,True,T
99,山科,135.8173204,34.992343,True,J
100,京都,135.7589033,34.9858294,True,J
101,綾部,135.2518621,35.3021433,True,J
102,福知山,135.1184569,35.295977,True,J
103,城崎温泉,134.8136459,35.6237828,True,T
104,木津,135.8248179,34.7359383,True,J
105,大阪,135.4959506,34.7024849,True,J
106,西九条,135.4661438,34.68215,True,J
107,桜島,135.432179,34.6620343,True,T
108,今宮,135.4927889,34.6541072,True,J
109,JR難波,135.4952136,34.666312,True,T
110,天王寺,135.5138727,34.6473099,True,J
111,鳳,135.4588616,34.5319888,True,J
112,東羽衣,135.4429079,34.5348967,True,T
113,日根野,135.3306787,34.3901649,True,J
114,関西空港,135.2432283,34.4360978,True,T
115,和歌山,135.1911771,34.2319356,True,J
116,和歌山市,135.166777,34.2365635,True,T
117,新宮,135.9941603,33.7251391,True,T
118,久宝寺,135.5842199,34.6224548,True,J
119,王寺,135.7025349,34.5977198,True,J
120,高田,135.7447341,34.5163234,True,J
121,奈良,135.8189335,34.6809044,True,J
122,加茂,135.8695801,34.7525245,True,T
123,京橋,135.5341349,34.6965674,True,T
124,放出,135.5630922,34.6880334,True,T
125,尼崎,135.4316693,34.7318259,True,T
126,谷川,135.0501144,35.0823226,True,T
127,兵庫,135.1645321,34.667993,True,J
128,和田岬,135.1737692,34.6574071,True,T
129,加古川,134.8393645,34.7676372,True,J
130,姫路,134.6898735,34.8266323,True,J
131,寺前,134.7431698,35.0654644,True,T
132,相生(山陽本線),134.4741181,34.8179561,False,D
133,東岡山(山陽本線),133.9881796,34.6856481,False,D
134,岡山,133.9186461,34.6664023,True,J
135,茶屋町,133.8258885,34.5768777,True,J
136,宇野,133.9538795,34.494461,True,T
137,倉敷,133.7657547,34.6020202,True,J
138,西出雲,132.7217578,35.3348863,True,T
139,福山,133.3614224,34.4892415,True,J
140,府中,133.235958,34.5715937,True,T
141,三原(山陽本線),133.0831419,34.4005593,False,D
142,海田市(山陽本線),132.530533,34.3720353,False,D
143,横川,132.4505616,34.4099757,True,J
144,あき亀山,132.4960802,34.5172579,True,T
145,新山口,131.3963492,34.0937855,True,J
146,居能,131.2280182,33.9665412,True,J
147,雀田,131.1868828,33.9606253,True,J
148,長門本山,131.1733447,33.9428059,True,T
149,宇部,131.2217245,34.0030269,True,J
150,小野田,131.1855495,34.0078127,True,J
151,下関,130.9221012,33.9505769,True,T
152,宇多津,133.8137609,34.3063477,True,J
153,高松,134.0455655,34.3505031,True,T
154,多度津,133.7567555,34.2711321,True,J
155,琴平,133.8212866,34.1918303,True,T
156,伊予市,132.7023557,33.7554763,True,T
157,下松,131.8680532,34.0087337,True,T
158,鴫野,135.545139,34.6927724,True,J
159,新大阪,135.5002139,34.7331669,True,J
160,横浜(根岸線),139.6223299,35.4657885,False,D
161,大船(根岸線),139.5315814,35.3544937,False,D
162,大網(外房・内房線),140.3110421,35.522508,False,D
163,蘇我(外房・内房線),140.1310471,35.5815282,False,D
164,相生(赤穂線),134.4741181,34.8179561,False,D
165,東岡山(赤穂線),133.9881796,34.6856481,False,D
166,三原(呉線),133.0831419,34.4005593,False,D
167,海田市(呉線),132.530533,34.3720353,False,D
168,横浜,139.6223299,35.4657885,True,J
169,大船,139.5315814,35.3544937,True,J
170,大網,140.3110421,35.522508,True,J
171,蘇我,140.1310471,35.5815282,True,J
172,相生,134.4741181,34.8179561,True,J
173,東岡山,133.9881796,34.6856481,True,J
174,三原,133.0831419,34.4005593,True,J
175,海田市,132.530533,34.3720353,True,J
